Timestamp,PacketId,Pelvis_AccX,Pelvis_AccY,Pelvis_AccZ,Pelvis_GyrX,Pelvis_GyrY,Pelvis_GyrZ,Pelvis_QuatW,Pelvis_QuatX,Pelvis_QuatY,Pelvis_QuatZ,Left_AccX,Left_AccY,Left_AccZ,Left_GyrX,Left_GyrY,Left_GyrZ,Left_QuatW,Left_QuatX,Left_QuatY,Left_QuatZ,Right_AccX,Right_AccY,Right_AccZ,Right_GyrX,Right_GyrY,Right_GyrZ,Right_QuatW,Right_QuatX,Right_QuatY,Right_QuatZ,GaitEvent_LeftStance,GaitEvent_RightStance,GaitEvent_IsWalking,MotionContext_State,MotionContext_Confidence,PD_DirectionDeg,PD_Stability,PD_IsValid,FPA_Left_Deg,FPA_Left_Error,FPA_Left_OnTarget,FPA_Right_Deg,FPA_Right_Error,FPA_Right_OnTarget,FPA_Quality,Stage,Attempt
1786980101829,25532,9.7422,-0.0498,1.0066,0.0708,0.0450,-0.0108,0.067885,-0.664856,-0.055627,-0.741798,-2.7170,-1.4530,9.2341,0.0080,0.0053,0.0027,-0.093931,0.150240,0.061084,-0.982280,-2.2911,2.1794,9.2607,0.0015,0.0047,0.0057,0.468381,0.158988,-0.042251,-0.868077,False,False,False,Straight,0.500,0.00,0.000,False,,,False,,,False,,Baseline,1
1786980101852,25533,9.7171,-0.0255,1.0629,0.0643,0.0338,-0.0121,0.068297,-0.664494,-0.056290,-0.742034,-2.7134,-1.4505,9.2502,0.0087,0.0057,0.0030,-0.094448,0.150288,0.061022,-0.982227,-2.2857,2.1875,9.2589,0.0006,0.0035,0.0062,0.468324,0.158980,-0.042250,-0.868109,False,False,False,Straight,0.500,0.00,0.000,False,,,False,,,False,,Baseline,1
1786980101879,25534,9.7541,-0.0340,1.0419,0.0534,0.0261,-0.0076,0.068571,-0.664214,-0.056751,-0.742225,-2.7296,-1.4529,9.2254,0.0102,0.0051,0.0045,-0.094136,0.150276,0.061095,-0.982254,-2.2754,2.1669,9.2617,-0.0005,0.0056,0.0055,0.468383,0.158986,-0.042210,-0.868078,False,False,False,Straight,0.500,0.00,0.000,False,,,False,,,False,,Baseline,1
1786980101903,25535,9.8291,-0.0767,0.9850,0.0473,0.0331,-0.0030,0.068961,-0.663879,-0.057207,-0.742453,-2.7310,-1.4503,9.2254,0.0104,0.0058,0.0041,-0.094028,0.150285,0.061124,-0.982261,-2.2771,2.1639,9.2398,0.0023,0.0059,0.0062,0.468279,0.159007,-0.042229,-0.868129,False,False,False,Straight,0.500,0.00,0.000,False,,,False,,,False,,Baseline,1
1786980101928,25536,9.8029,-0.0396,0.9980,0.0422,0.0355,-0.0036,0.069268,-0.663526,-0.057593,-0.742710,-2.7276,-1.4439,9.2178,0.0080,0.0047,0.0025,-0.093723,0.150270,0.061231,-0.982286,-2.2934,2.1696,9.2657,0.0025,0.0044,0.0051,0.468400,0.159016,-0.042221,-0.868063,True,True,False,Straight,0.500,0.00,0.000,False,,,False,,,False,,Baseline,1
1786980101953,25537,9.7202,-0.0140,1.0425,0.0321,0.0375,-0.0074,0.069492,-0.663161,-0.057945,-0.742988,-2.7137,-1.4607,9.2428,0.0088,0.0092,0.0047,-0.093512,0.150322,0.061294,-0.982294,-2.2852,2.1741,9.2555,0.0053,0.0058,0.0036,0.468320,0.159060,-0.042252,-0.868096,True,True,False,Straight,0.500,0.00,0.000,False,,,False,,,False,,Baseline,1
1786980101978,25538,9.7349,0.0257,1.1019,0.0242,0.0257,-0.0075,0.069647,-0.662911,-0.058235,-0.743174,-2.7280,-1.4471,9.2282,0.0091,0.0095,0.0035,-0.093562,0.150393,0.061311,-0.982278,-2.2802,2.1832,9.2534,0.0058,0.0054,0.0048,0.467937,0.159084,-0.042367,-0.868293,True,True,False,Straight,0.500,0.00,0.000,False,,,False,,,False,,Baseline,1
1786980102001,25539,9.7671,-0.0016,1.1007,0.0145,0.0226,-0.0065,0.069675,-0.662693,-0.058371,-0.743355,-2.6973,-1.4554,9.2178,0.0107,0.0117,0.0065,-0.093652,0.150492,0.061285,-0.982255,-2.2716,2.1759,9.2494,0.0054,0.0096,0.0025,0.467967,0.159161,-0.042371,-0.868263,True,True,False,Straight,0.500,0.00,0.000,False,,,False,,,False,,Baseline,1
1786980102028,25540,9.7442,0.0033,1.0846,0.0144,0.0181,-0.0085,0.069754,-0.662521,-0.058600,-0.743483,-2.7302,-1.4492,9.2383,0.0108,0.0135,0.0070,-0.093866,0.150620,0.061227,-0.982219,-2.2868,2.1746,9.2449,0.0069,0.0105,0.0032,0.467993,0.159259,-0.042385,-0.868230,True,True,False,Straight,0.500,0.00,0.000,False,,,False,,,False,,Baseline,1
1786980102054,25541,9.7086,0.0065,1.0986,0.0145,0.0145,-0.0108,0.069775,-0.662382,-0.058835,-0.743586,-2.7351,-1.4544,9.2325,0.0098,0.0145,0.0064,-0.093933,0.150753,0.061211,-0.982193,-2.2867,2.1880,9.2507,0.0065,0.0151,0.0033,0.467916,0.159414,-0.042372,-0.868243,True,True,False,Straight,0.500,0.00,0.000,False,,,False,,,False,,Baseline,1
