PacketId,Role,StatusWord,Qx,Qy,Qz,Qw,Gx,Gy,Gz,FreeAx,FreeAy,FreeAz,Ax,Ay,Az,DQx,DQy,DQz,DQw,DVx,DVy,DVz
7120,Right,2,0.1795,-0.0996,-0.9780,-0.0361,-0.0005,0.0062,0.0030,-0.0258,0.0266,-0.0206,-3.4848,1.7585,8.9805,-0.0000,0.0001,0.0000,1.0000,-0.0871,0.0440,0.2245
7120,Left,2,0.1081,0.1399,-0.7801,0.6002,0.0144,0.0074,0.0029,0.0015,0.0005,-0.0579,-3.2843,-0.8615,9.1448,0.0002,0.0001,0.0000,1.0000,-0.0821,-0.0216,0.2286
7120,Pelvis,2,0.5719,0.3638,0.5723,-0.4615,-0.0283,0.0013,-0.0071,-0.0794,0.0292,-0.0190,9.6904,-1.1766,0.7973,-0.0004,0.0000,-0.0001,1.0000,0.2423,-0.0294,0.0199
7121,Right,2,0.1795,-0.0997,-0.9780,-0.0365,-0.0006,0.0056,0.0048,-0.0180,0.0261,-0.0087,-3.4968,1.7600,8.9885,-0.0000,0.0001,0.0001,1.0000,-0.0874,0.0440,0.2247
7121,Left,2,0.1081,0.1399,-0.7800,0.6003,0.0132,0.0068,0.0035,0.0058,0.0107,-0.0559,-3.2956,-0.8592,9.1431,0.0002,0.0001,0.0000,1.0000,-0.0824,-0.0215,0.2286
7121,Pelvis,2,0.5721,0.3637,0.5724,-0.4613,-0.0162,-0.0046,-0.0037,-0.0874,0.0602,0.0097,9.7149,-1.1961,0.8245,-0.0002,-0.0001,-0.0000,1.0000,0.2429,-0.0299,0.0206
7122,Right,2,0.1796,-0.0996,-0.9780,-0.0364,-0.0024,0.0063,0.0041,-0.0228,0.0458,-0.0138,-3.4904,1.7396,8.9896,-0.0000,0.0001,0.0001,1.0000,-0.0872,0.0435,0.2247
7122,Left,2,0.1081,0.1399,-0.7800,0.6003,0.0115,0.0046,0.0019,0.0037,0.0043,-0.0666,-3.2857,-0.8586,9.1353,0.0001,0.0001,0.0000,1.0000,-0.0821,-0.0215,0.2284
7122,Pelvis,2,0.5722,0.3637,0.5723,-0.4612,-0.0026,-0.0135,-0.0000,-0.1453,0.0959,-0.0175,9.6797,-1.2585,0.8345,-0.0000,-0.0002,-0.0000,1.0000,0.2420,-0.0315,0.0209
7123,Right,2,0.1796,-0.0996,-0.9780,-0.0365,-0.0029,0.0069,0.0028,-0.0209,0.0228,-0.0299,-3.4872,1.7582,8.9695,-0.0000,0.0001,0.0000,1.0000,-0.0872,0.0440,0.2242
